,local_id,tweet,primary_emotion,anger,disgust,fear,sadness,happiness,surprise
0,1660281900949291009,گزارش اردی‌بهشت‌ماه در حال آماده‌سازی‌ست و فردا منتشر خواهد شد؛ خوب است بدانید در ماهی که گذشت با تلاش شما و با پرداخت میلیون‌تومان نفر یا از قصاص نجات یافته‌اند و یا از زندان و نیز با پرداخت میلیون‌تومان مشکل رهن و اجاره‌ی خانواده مرتفع شده است ,sadness,0,0,1,1,1,0
1,1635650914840195072,به بهانه خشونت اینستاگرام حتی اجازه انتشار عکس شهدای سال دفاع مقدس را هم نمی‌دهد بعد در همین اینستاگرام علی کریمی و فرخنژاد تشویق به حملات تروریستی علیه حافظان امنیت می‌کنند,disgust,1,1,1,1,0,1
2,1467190780808904711,زمانیکه بازخورد و انعکاسی نمی‌گیرید و در نتیجه احساس کاملی از واقعی‌بودن ندارید خلا در خویشتن‌باوری‌تان به وجود می‌آید که حاصل کمبود ترغیب و تشویق و حس عدم تعلق خاطر است,sadness,1,0,0,1,0,0
3,1637574629991563264,در هشتمین نوروز در زندان اگر آزادی می‌خواهیم مسیر آن از هر میانبری هم که برویم در نهایت به از میان برداشتن جمهوری اسلامی و حذف اسلام سیاسی از ساحت حکمرانی می‌رسد,sadness,1,1,0,1,0,0
4,1505080291005984768,آقا و خانمی که تو مجازی داری عمرتو هدر میدی هیچ هدفی نداری رسالتتو گم کردی توییت های بی محتوا و فقط برای جذب مخاطب میزنی برای شادی امام زمان توییت بزن نه چارتا فالور,sadness,1,1,0,1,0,0
5,1465069855921614850,من عاشق کلاهم کلاه هم زیاد دارم همه مدل ولی مشکلم باهاش دو تا چیزه اگه یه ذره هوا گرم باشه عرق می‌کنم بعدش که برش می‌دارم موهام شدن مثل سمور خیس لذا تجربیات خود از کلاه را ارائه کنید,sadness,0,0,1,1,0,1
6,1650859228867837952,شما هم از این دوستا دارید که وقتی زنگ میزنه که یه کاریش بهتوت گیره چیکارش کنم دلم خنک شه,happiness,0,0,0,0,1,0
7,1574993370296225792,اصالت با مردم و خواسته های آنان است حاکمیت بدون مردم اصالت و اعتباری ندارد کسانیکه در جایگاه حاکمیت قرار می گیرند باید نماینده نظرات و خواسته های مردم باشند آنها حقی برای تحمیل و اعمال نظراتشان در قالب قانون ندارند و اگر چنین کنند آن قانون مردود و بی اعتبار است,anger,1,1,0,1,0,0
8,1636190236806971393,در تعاملات سیاسی هیچ‌گاه جانب احتیاط را نباید رها کرد,anger,1,0,0,0,0,0
9,1656747115186405376,سعید ارجمندی سال رفیقش رو میکشه به اعدام محکوم میشه دوستهاش خانواده مقتول رو تهدید میکنن و سال با رضایت آزاد میشه و دوباره قتل میکنه اینکه بسیاری از دوستان برای یک چنین آدمی دارن توییت میزنن جای تعجب داره مگه ما قراره از قاتلان حرفه‌ای حمایت کنیم,anger,1,1,1,1,0,1
10,1631653601151160322,یادتون باشه کی باعث شد مملکت بهم بریزه,anger,1,1,0,1,0,1
11,1644788326241640450, ماه طلایی سال رمضان المبارک,happiness,0,0,0,0,1,0
12,1633049274085679104, تجارب رژیم ایران در طول چهار دهه نشان می‌دهد که این رژیم برای تحکیم سلطه و گسترش نفوذ خود در منطقه از یمن تا لبنان و از عراق تا سوریه هرگز در استفاده از همه ابزارهای غیرقانونی تردید نکرده است ,disgust,0,1,1,0,1,0
13,1637429140625260547, یک جنگ بیهوده رخ داده است که تعداد زیادی از مردم را از هر دو طرف کشته است و تنها چیزی که این درگیری ثابت کرد این بود که شما می‌توانید جامعه بین‌المللی را با زور محض دستکاری کنید ,sadness,1,1,1,1,0,1
14,1555581348345167874,فصلنامه ناقد به سردبیری حضرت مصطفی ملکیان اصلا توسط حکیم حوزه مسموع نشد چه رسد به مفهوم حکیم فرموده بودند من این مقاله را نفهمیدم و حالا بابت این نفهمیدن دستگاه جبار اموی از معظم له تجلیل کرده است جناب دکترمحمودصادقی عزیز به امثال اژه ای جورگستری خرده نگیرید,disgust,1,1,0,1,0,1
15,1644993666732244993,بدون شرح از جوانان اصفهان و کشاکش روزانه با نیروهای اهریمن در سطح شهر ایران,other,0,0,0,0,0,0
16,1635200443134640130,انفجار مزار شریف افغانستان سازمان ملل محکوم کرد,sadness,1,1,1,1,0,1
17,1499495905866575878,دیکتاتور کیست بچه ای است ساله که نفر مجبورند به خاطر اون کارتون نگاه کنند اونایی که همچین دیکتاتوری تو خونه دارن لایک کنن کودک ,anger,1,1,0,1,0,1
18,1660254459216240642,دادستان فارس خبرداد دونفر از عوامل اصلی حمله به شاهچراغ در چندروز آینده در ملاعام خیابان دی شیراز به دار مجازات آویخته خواهندشد مرهمی بر دل آرتین و سایر خانواده های داغدار حادثه,sadness,1,1,1,1,0,0
19,1646445628170354689,ما آدما چه بخوایم چه نخوایم همیشه رفیق نیمه راه هم هستیم این جاده نه مقصد داره نه انتخاب میکنی کی وارد بشی نه اینکه کجا خارج شی نه حتی میتونی قول بدی که تا چه زمانی همراهی شاید پذیرفتن و درک کردن این همراهی نیمه‌راه از ما همسفرهای بهتری بسازه شاید,sadness,0,0,0,1,0,0
20,1493261765827862528,پدر میبازد تا فرزندش ببرد اگر میخواهید روزی را برای پدر مبارک کنید کاری کنید فرزندش نبازد,sadness,1,1,0,1,0,0
21,1644998852523753472, چرا تا حالا از این منظر نگاه نکرده بودیم ااا وا نمیدونم تو سر اینا بجای مغز چی هست,surprise,1,1,1,1,0,1
22,1611099909213519872, محتوی این توئیت چیزی نیست جز دلخوش کنک مشتی آدمخوار بازنده سرخورده در واقع محبوبیت سردار آنقدری ماتحت برخی را سوزانده که بوی دنبه و روده چز داده گوسفند در تایم لاین بپیچید زین پس هر که نام غذا به نیت گوشت تن آدمیزاد برد با این هشتک یاد آوری کنید چیست,disgust,1,1,1,1,0,0
23,1629239521211473920,مسعود رجوی ملغمه سلطنت انتخابی که بچه شاه میگوید مترادف سلطنت مادام‌العمر در رژیم ولایت است هر شخص و جریان سیاسی که به قانون اساسی ولایت فقیه رای مثبت داد به حاکمیت جمهور مردم خیانت کرد و خنجر زد امروزدم زدن از هر گونه سلطنت همان خشت خیانت است,disgust,1,1,0,1,0,0
24,1631911835837292544,جناب آقای دژکام امام جمعه محترم شیراز برادر من فقر فضیلت نیست تمامی پیامبران امامان اگر بخشنده بودند بخاطر دارندگی بوده از علم کیمیا برا بخشنده بودن استفاده نمیکردن در ضمن یادت باشه فقر از پنجره بیاد ایمان از در میره بیرون,sadness,1,0,0,1,0,0
25,1660711607670910976,من از کسی عکس نمی‌گیرم ولی می‌تونم توصیف کنم که پشت چراغ قرمز چشمم افتاد به میوه فروشی و یه دفعه زنی با یه دامن قشنگ و موهای پشت سر جمع شده خریدهاش رو بغل گرفته بود و داشت رد می‌شد انگار توی این شهر فقط اونه که عابره خرامیدن به معنای خود کلمه غرق در زیبایی,happiness,0,0,0,0,1,0
26,1593603220433248262,خیلی جالبه که مادر کیان پیرفلک تفاوت لباس شخصی تجزیه‌طلب رو با مدافع امنیت میدونه عجبا,sadness,1,1,1,1,0,1
27,1644849603387314179, می بی‌غش است دریاب وقتی خوش است بشتاب سال دگر که دارد امید نوبهاری در بوستان حریفان مانند لاله و گل هر یک گرفته جامی بر یاد روی یاری چون این گره گشایم وین راز چون نمایم دردی و سخت دردی کاری و صعب کاری هر تار موی حافظ در دست زلف شوخی مشکل توان نشستن در این چنین دیاری,sadness,0,0,0,1,0,0
28,1604954466331119625,یک ویدئو منسوب اعتراضات شامگاه آذر در رشت را پاک کردیم این ویدئو مربوط بود به اعتراضات شب‌های قبل مهر ماه در رشت از اینکه ویدئو را پیش از راست‌آزمایی بازنشر کردیم پوزش می‌خواهیم,sadness,1,0,1,1,0,0
29,1657504113624489989,ینی فردا این موقع قراره تو ترکیه چی بشه,surprise,1,1,1,1,0,1
30,1501262484707201028,تجربه؛ ماشین کارکرد کیلومتر محدوده نخرید,anger,1,1,0,1,0,1
31,1471351891510669312,و چه قلم های اجاره ای که آماده ریختن زهر خود بودند اما خداروشکر با پیروزی تیم غلاف شدند تقویت و ثبات خواست همه هواداران,happiness,0,1,0,1,1,0
32,1653978243576332291,امام علی علیه السلام شگفتا شگفتا به خدا سوگند قلب را میمیراند و غم و اندوه را به روح انسان سرازیر میکند که آنها شامیان غارتگر در مسیر باطل خود چنین متحدند و شما در طریق حقتان این گونه پراکنده و متفرق ,sadness,1,1,1,1,0,1
33,1644987291897671681,پس از هفت سال دیپلومات‌های عربستان به ایران رفته اند وزارت خارجه عربستان سعودی اعلام کرده است که هیاتی از دیپلومات‌های این کشور برای از سرگیری روابط دیپلوماتیک و فراهم‌سازی زمینه بازگشایی سفارت این کشور در تهران به ایران رفته اند تلویزیون‌ملی,happiness,0,0,0,0,1,1
34,1446937028055162881,کشتی ها رو گرفتید کسب مدال کردید حالا برید با وانت میوه بفروشید تو مزارع کار کنید چون حق شما رو باید فوتبالیست های مفت خور بخورن قرادادهای میلیاردی ببندن هر شب هم تو خونه مجردی هاشون یه برنامه داشته باشن اینه حال و روز کشتی گیرهایی که تو این مدت دل مردمو شاد کردن,happiness,1,1,0,1,1,0
35,1660267815692120064,حالم گرفته حتی تو اعیاد هم دلم گرفته س,happiness,0,0,0,0,1,0
36,1618943340061528066,واریز نجومی هفته چند نفر از کرمان تا تهران و مشهد هفته عجیبی راپشت سرگذاشتند آنها با پیامک واریز رقمی نجومی روبه‌رو شدندواحتمالا چند دقیقه‌ای هم رویاپردازی کردند اما درنهایت بانک آینده اعلام کرد اشتباه شده وپولهاراپس گرفت؛ اشتباهی که خیلی مشکوک‌ تر از یک اشتباه معمولی است,sadness,1,1,1,1,0,1
37,1629158972111421440,اولین سالگرد حمله روسیه؛ اوکراینی‌ها سوگواری کردند و وعده ایستادگی دادند بیشتر بخوانید,sadness,1,1,1,1,0,0
38,1595233357054492675,بازیکنان آرژانتین هم مثل ایران زیادی استرس قفل شونده نداشتند تبانی,happiness,0,0,0,0,1,0
39,1543623727706947588,ایرانی‌ها به اندازه نصف کل اروپا گاز مصرف می‌کنند بریتیش پترولیوم ایرانی‌ها را چهارمین مصرف‌کننده بزرگ گاز جهان در کنار آمریکا روسیه و چین با وسعت و جمعیت چندین برابر ایران اعلام کرد,sadness,1,1,1,1,1,1
40,1610956741235146753, اگه جانفدا نیستی خودتو برای کی عرضه می کنی دروغ روشن,anger,1,1,0,1,0,1
41,1659218948905218049,اصلا هالوپینو‌ میخرم که غذا بخورم,surprise,0,0,0,0,1,1
42,1660683393649242113,نشستم باده خوردم خون گرستم کنجی افتادم تحمل می‌رود اما شب غم سر نمی‌آید,sadness,1,1,1,1,0,0
43,1647909335941492736,خبر کوتاه بود و جانکاه دیروز صبح تو شهر ما یه دختر بچه راهنمایی از یه خانواده فقیر از خواب بیدار میشه که بره مدرسه و وقتی میبینه هیچی ندارن که صبحانه بخوره بجای رفتن به مدرسه خودشو حلق آویز میکنه,sadness,1,1,1,1,0,1
44,1503852638714093583, جوان امروز از جوان اول انقلاب و دوران جنگ اگر جلوتر و بهتر نباشد عقب‌تر نیست؛ و من معتقدم که جلوتر است امروز با این‌همه ابزارهای تبلیغی و شگردهای گوناگون فروریختن پایه‌های ایمان جوان انقلابی ایستاده است ‌امام خامنه ای مدظله العالی,disgust,0,1,0,0,0,0
45,1420602598047027203,مهم نیست چقدر آروم پیشرفت می‌کنی تو هنوز از خیلی‌ها که تلاش نمی‌کنند جلوتری,happiness,0,0,0,0,1,1
46,1629661285565734913, اعتراف به این‌که ذات و ماهیت این نظام به هیچ اصل و پرنسیپ و حقوق شناخته شده مردم جهان پس از هزاران سال تجربه و آزمایش در نسبت حکومت با مردم پایبند نیست و بلکه از اساس منکر و رو در روی آن است دلیل شناخته شدن فاشیسم مذهبی در انظار جهانیان است ,disgust,1,1,0,1,0,0
47,1497324940420341768,جان چه کار آید اگر پیش تو قربان نشود,sadness,1,1,0,1,0,0
48,1206882143718268928,جریان غربگرا در حالی برای پوشش ناکارآمدی‌اش موضوع پیوستن به و را به پروژه انتخاباتی تبدیل کرده و می‌خواهد با دوگانه بد و بدتر افکار عمومی را در موضوع معیشت نسبت به آینده بترساند که خود تصویر تاریک‌تری از آنچه پیش‌تر به رقیب در اقتصاد نسبت می‌داد را محقق کرده است,sadness,1,1,1,1,0,0
49,1489591432193134597,یک کلام به خورشید مانده است یک لحظه به خداوند,sadness,0,0,0,1,0,0
50,1654917266771697664,سه چهار سال پیش در فیضیه قم و در آخرین نماز جمعه تهران گفتم جامعه رفت و شما جا ماندید به‌ جای توجه توهین کردند اما واقعیت عوض نشد تا رسیدیم به اینجا,sadness,1,1,0,1,0,0
51,1500546930077843458,دراعلامیه حقوق بشر و شهروندی که در ژوئن تدوین شده ذکر شده امنیت شامل ضمانتی می شود که جامعه به هر یک از اعضای خود در حفظ شخصیت حقوق و اموال آنها می دهد انگارباید راه افتاد و به تک تک افراد دور و بر گفت ببینید حفظ شخصیت شخصیت شخصیت و حقوق و اموال,happiness,0,0,0,0,1,0
